古典音乐台,古典音樂台
Warner TV,Warner TV 
CNNI,CNNI 
超级电视台,超級電視台
视纳华仁纪实台,視納華仁紀實台
唯心电视,唯心電視
大台中生活频道,大台中生活頻道
Arirang TV,Arirang TV 
GagaOOLala 精选LGBTQ+好剧,GagaOOLala 精選LGBTQ+好劇
乐活频道,樂活頻道
TVBS 欢乐台,TVBS 歡樂台
Viu 频道,Viu 頻道
Now华剧台,Now華劇台
MOOV 演唱会/MV台,MOOV 演唱會/MV台
熊猫 TV,熊貓 TV
Discovery 科学频道,Discovery 科學頻道
户外频道,戶外頻道
罪案 + 侦缉,罪案 + 偵緝
CNN 国际新闻网络,CNN 國際新聞網絡
亚洲新闻台,亞洲新聞台
半岛电视台英语频道,半島電視台英語頻道
中国环球电视网,中國環球電視網
Now新闻台,Now新聞台
Now财经台,Now財經台
Now报价台,Now報價台
凤凰卫视资讯台,鳳凰衛視資訊台
东森亚洲新闻台,東森亞洲新聞台
DreamWorks 频道,DreamWorks 頻道
亚洲美食台,亞洲美食台
深圳卫视,深圳衛視
大湾区卫视,大灣區衛視
中央电视台新闻频道,中央電視台新聞頻道
凤凰卫视中文台,鳳凰衛視中文台
东方卫视国际频道,東方衛視國際頻道
三沙卫视,三沙衛視
浙江卫视,浙江衛視
Now Sports 精选,Now Sports 精選
曼联电视频道,曼聯電視頻道
TVB 互动新闻台,TVB 互動新聞台
Now 影视点播站,Now 影視點播站
娱乐新闻台,娛樂新聞台
千禧经典台,千禧經典台
创世电视,創世電視
中国电影频道,中國電影頻道
ROCK综艺娱乐,ROCK綜藝娛樂
亚洲剧台,亞洲劇台
华语剧台,華語劇台
CGTN (中国环球电视网)英语频道,CGTN (中國環球電視網)英語頻道
CGTN (中国环球电视网)记录频道,CGTN (中國環球電視網)記錄頻道
美亚电影台,美亞電影台
黄金华剧台,黃金華劇台
戏曲台,戲曲台
Love Nature,Love Nature 
无线卫星亚洲台,無線衛星亞洲台
黄金翡翠台,黃金翡翠台
无线新闻台,無綫新聞台
无线卫星新闻台,無線衛星新聞台
天映经典频道,天映經典頻道
凤凰卫视香港台,鳳凰衛視香港台
中央电视台综合频道 (港澳版),中央電視台綜合頻道 (港澳版)
测试频道,測試頻道
粤语片台,粵語片台
东森亚洲卫视,東森亞洲衛視
中天亚洲台,中天亞洲台
冰火频道,冰火頻道
成人极品台,成人極品台
福建海峡卫视国际频道,福建海峽衛視國際頻道
北京电视台国际频道,北京電視台國際頻道
湖南电视台国际频道,湖南電視台國際頻道
中国中央电视台戏曲频道,中國中央電視台戲曲頻道
中国中央电视台娱乐频道,中國中央電視台娛樂頻道
广东广播电视台大湾区卫视频道,廣東廣播電視台大灣區衛視頻道
深圳卫视国际频道,深圳衛視國際頻道
江苏电视台国际频道,江蘇電視台國際頻道
安徽广播电视台国际频道,安徽廣播電視台國際頻道
中国中央电视台中文国际频道,中國中央電視台中文國際頻道
浙江电视台国际频道,浙江電視台國際頻道
云南澜湄国际卫视,雲南瀾湄國際衛視
SUPER煲剧,SUPER煲劇
SUPER识叹,SUPER識嘆
SUPER识食,SUPER識食
SUPER剧场,SUPER劇場
SUPER奖门人,SUPER獎門人
SUPER话当年 (免费),SUPER話當年 (免費)
